id,object,group,description,variable_type,custom_type,address,offsets,bit_start,bit_length,string_length,unicode,path,dropdown
24199,Club,Finances,Bonuses,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x1C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Bonuses,
24200,Club,Finances,Director Emoluments,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x78 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Director Emoluments,
24201,Club,Finances,Dividends,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x18 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Dividends,
24202,Club,Finances,Ground Maintenance,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0xC -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Ground Maintenance,
24203,Club,Finances,Insurance,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x94 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Insurance,
24204,Club,Finances,League Fines,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x8 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > League Fines,
24205,Club,Finances,Loan Fees,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x98 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Loan Fees,
24206,Club,Finances,Loan Repayments and Interest,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x4 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Loan Repayments and Interest,
24207,Club,Finances,Loyalty Bonuses,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x20 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Loyalty Bonuses,
24208,Club,Finances,Match Day Expenses,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x74 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Match Day Expenses,
24209,Club,Finances,Non-Football Costs,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x7C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Non-Football Costs,
24210,Club,Finances,Other,Custom,United Kingdom Pound,ptrClub,cluo.Celm -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Other,
